 

Task 1:
For different lists of SNPs covered by different assays, group alleles into indistinguishable allels.    
TODO: Compare that to alleles claimed to be discoverable by manufacturer.




** ASSAY: florida_stanford_chip **
3 set(s) of mutually indistinguishable haplotypes:  [{'*VIII', '*X', '*VII', '*VI', '*III', '*IV', '*IX', '*28b', '*60a', '*60b', '*60c', '*V', '*II', '*36b', '*37b'}, {'*1e IA', '*1k IB', '*1d IA', '*1j IB', '*1f IA', '*28d', '*364L IA', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1c IB', '*1a', '*1b', '*533P IB', '*1a IA', '*1g IA'}, {'*6a', '*6c', '*6b'}]
3 rsids were used to define haplotypes for this gene
3 out of these rsids are present in the 1000genomes samples: {'rs4124874', 'rs35350960', 'rs4148323'}
0 out of these rsids are not present in the 1000genomes samples: set() 



** ASSAY: hypothetical_assay_covering_all_rsids_in_pharmgkb **
5 set(s) of mutually indistinguishable haplotypes:  [{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}, {'*II', '*III', '*IV', '*60a'}, {'*X', '*36b'}, {'*IX', '*37b'}, {'*6a', '*6c', '*6b'}]
9 rsids were used to define haplotypes for this gene
7 out of these rsids are present in the 1000genomes samples: {'rs10929302', 'rs35350960', 'rs873478', 'rs4148323', 'rs887829', 'rs4124874', 'rs34946978'}
2 out of these rsids are not present in the 1000genomes samples: {'rs13404099', 'rs8175347'} 



** ASSAY: veracode_adme_corepanel **
3 set(s) of mutually indistinguishable haplotypes:  [{'*VIII', '*X', '*VII', '*VI', '*III', '*IV', '*IX', '*28b', '*60a', '*60b', '*60c', '*V', '*II', '*36b', '*37b'}, {'*1e IA', '*1k IB', '*1d IA', '*1j IB', '*1f IA', '*28d', '*364L IA', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1c IB', '*1a', '*1b', '*533P IB', '*1a IA', '*1g IA'}, {'*6a', '*6c', '*6b'}]
3 rsids were used to define haplotypes for this gene
3 out of these rsids are present in the 1000genomes samples: {'rs4124874', 'rs35350960', 'rs4148323'}
0 out of these rsids are not present in the 1000genomes samples: set() 



** ASSAY: taqman **
3 set(s) of mutually indistinguishable haplotypes:  [{'*VIII', '*X', '*VII', '*VI', '*III', '*IV', '*IX', '*28b', '*60a', '*60b', '*60c', '*V', '*II', '*36b', '*37b'}, {'*1e IA', '*1k IB', '*1d IA', '*1j IB', '*1f IA', '*28d', '*364L IA', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1c IB', '*1a', '*1b', '*533P IB', '*1a IA', '*1g IA'}, {'*6a', '*6c', '*6b'}]
3 rsids were used to define haplotypes for this gene
3 out of these rsids are present in the 1000genomes samples: {'rs4124874', 'rs35350960', 'rs4148323'}
0 out of these rsids are not present in the 1000genomes samples: set() 



** ASSAY: dmet_plus **
6 set(s) of mutually indistinguishable haplotypes:  [{'*VIII', '*VI'}, {'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*364L IA', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1c IB', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}, {'*III', '*IV', '*60a', '*60b', '*60c', '*II'}, {'*X', '*36b'}, {'*IX', '*37b'}, {'*6a', '*6c', '*6b'}]
6 rsids were used to define haplotypes for this gene
5 out of these rsids are present in the 1000genomes samples: {'rs4124874', 'rs10929302', 'rs35350960', 'rs4148323', 'rs887829'}
1 out of these rsids are not present in the 1000genomes samples: {'rs8175347'} 

 

Task 2:
For different lists of SNPs covered by different assays, calculate how many samples in 1000genomes would be assigned an allele 
that actually does not match the 'correct' allele ('correct' allele = the allele inferred based on 'hypothetical_assay_covering_all_rsids_in_pharmgkb'). 
TODO: Also generate statistics on inferred alleles, ethnicities etc.



Task 3:

Generate statistics



    
    SNP variant counts in gene definitions and in sample data.
    
    
sample	gene	maternal_or_paternal_haplotype	florida_stanford_chip	hypothetical_assay_covering_all_rsids_in_pharmgkb	veracode_adme_corepanel	taqman	dmet_plus
NA19198	UGT1A1	maternal_haplotype	set()	set()	set()	set()	set()
NA19198	UGT1A1	paternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
NA19197	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA19197	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA19190	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA19190	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00190	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00190	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA20785	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
NA20785	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA20787	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
NA20787	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA20786	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA20786	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA20783	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA20783	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG01357	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG01357	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00690	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00690	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00693	UGT1A1	maternal_haplotype	set()	{'*6a', '*6c', '*6b'}	set()	set()	set()
HG00693	UGT1A1	paternal_haplotype	set()	{'*6a', '*6c', '*6b'}	set()	set()	set()
HG00692	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00692	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG01353	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG01353	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA20278	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
